sample;sample_name;longitude;latitude
1;Kalix_Baltic_Sp;22.71666667;65.86666667
2;Vaxholm_Baltic_Sp;18.3;59.43333333
3;DalBoB_Atlantic_Mx;-53.33333333;48.81666667
5;DalGeB_Atlantic_Au;-66.3;43.26666667
6;DalInB_Atlantic_Sp;-65.85;48
7;DalNsF_Atlantic_Au;-62.6;45.73333333
8;DalNsS_Atlantic_Sp;-64.15;46.31666667
9;Gamleby_Baltic_Sp;16.45;57.83333333
10;Fehmarn_Baltic_Au;11.2;54.46
13;Hamburgsund_Atlantic_Sp;11.21666667;58.5
14;Norway_Atlantic_Sp;10.25;64.86666667
16;Riga_Baltic_Sp;24.6186;58.3375
18;Riga_Baltic_Au;23.5;58.02
19;Schlei_Baltic_Au;9.85;54.6
20;Schlei_Baltic_Sp;9.85;54.6
21;Rugen_Baltic_Sp;13.4688;54.1437
23;KattegatNorth_Atlantic_Sp;12.1;56.13
24;Greenland_Atlantic_Sp;-47.15;60.78333
26;HastKar_Baltic_Sp;17.8;60.58333333
27;Skagerrak_Atlantic_Sp;11.35;58.31666667
28;Kalmar_Baltic_Sp;17.11666667;57.65
29;Karlskrona_Baltic_Sp;15.55;56.16666667
31;Hudiksvall_Baltic_Sp;17.5;61.75
32;Galve_Baltic_Sp;17.3;60.71666667
33;Galve_Baltic_Su;17.3;60.71666667
34;Galve_Baltic_Au;17.58333333;60.73333333
36;Kattegat_Atlantic_Sp;11.7;57.71666667
38;TysklandS18_Germany_Baltic;13.58333333;54.21666667
39;Downs_EnglishChannel_Wi;1.896;51.3376
40;RingkobingFjord_NorthSea_Sp;8.1867;56.0185
41;BornholmBasin_Baltic_Au;15.2235;55.301
42;NSSH_Atlantic_Sp;9.473;67.463
43;Orkney_NorthSea_Au;-2;59
44;IsleOfMan_IrishSea_Au;-4.37;54.06
45;CelticSea_Atlantic_AuWi;-6.506;51.591
46;CapeWrath_Atlantic_Sp;-6.1268;57.4086
47;CapeWrath_Atlantic_Au;-4.372333333;58.6115
48;Clyde_Atlantic_Sp;-5.035705;55.136108
50;Landvik_Atlantic_Sp;8.501666667;58.32
54;Lindas_Atlantic_Sp;5.1283;60.72794
58;Lusterfjorden_Atlantic_Sp;7.573333333;61.47666667
59;Gloppen_Atlantic_Sp;6.166666667;61.78333333
67;TeelinBay_Atlantic_Wi;-8.6305;54.6266
69;FaroeIsland_Atlantic_Au;-6.38;61.02
70;Gdansk_Baltic_Sp;19.67;54.37
71;BergenAut_Atlantic_Au;4.9;60.56
72;BergenSp_Atlantic_Sp;4.9;60.56
73;Hovag_Atlantic_Sp;8.27;58.15
74;Strandfjorden_Atlantic_Sp;8.527034;58.304021
75;Banks_Atlantic_Au;0.28;54.13
76;TeelinBayLateType_Atlantic_Wi;-8.35;54.591
77;BrucklessBay_Atlantic_Wi;-8.41;54.61
78;CelticSea_Atlantic_Wi;-6.88;52.09
79;NWCapeWrath_Atlantic_Au;-5.42;58.63
80;Buchan_Atlantic_Au;-0.27;57.27
81;DouglasBank_Atlantic_Au;-4.46;54.05
82;Minch_Atlantic_Sp;-5.85;57.82
83;MilfordHavenFeb_Atlantic_Sp;-4.884855;51.729713
84;MilfordHavenApr_Atlantic_Sp;-4.884855;51.729713
85;Clovelly_Atlantic_Wi;-4.395143;50.998516
86;Minehead_Atlantic_Wi;-3.465048;51.212721
87;Tenby_Atlantic_Sp;-4.86142;51.64138
